id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,lat_estacion_origen,long_estacion_origen
395BAEcobici,303 - Huaura,1474 Huaura,-34.5968038,-58.453568700000005
396BAEcobici,306 - Tres Arroyos Y Olaya,327 Tres Arroyos,-34.601852,-58.448011
397BAEcobici,308 - Artigas Y Melincue,Artigas & Melincue,-34.5979984,-58.4856262
398BAEcobici,310 - Gregoria Perez,Gregoria Perez 3314,-34.57618170000001,-58.45465079999999
399BAEcobici,312 - Parque Chacabuco  I,"Peron, Eva & Achaval",-34.6340414,-58.446273
39BAEcobici,039 - CONGRESO II,Rivadavia Av. & Parana,-34.6092213,-58.38769250000001
3BAEcobici,003 - ADUANA,Moreno & Av Paseo Colon,-34.611032,-58.3682604
400BAEcobici,313 - De Los Incas,1378 Donado,-34.579751,-58.471003
401BAEcobici,314 - Ramón Falcon,"3792 Falcon, Ramon L.,Cnel.",-34.63476179999999,-58.4795922
402BAEcobici,006 - planeada,3209 Av. Francisco Beiro,-34.597612100000006,-58.4985424
403BAEcobici,316 - Buenos Aires,Luna y Suarez,-34.645532066615736,-58.39667441428978
404BAEcobici,317 - Cero Más Infinito,Ciudad Universitaria - Pabellón Infinito,-34.543949,-58.4408983
405BAEcobici,318 - Plaza Y Carbajal,1602 Plaza,-34.5767497,-58.4689771
406BAEcobici,326 - Emma De La Barra,"301 De la Barra, Emma",-34.6009283,-58.3642613
407BAEcobici,330 - Parque Avellaneda,4001 Directorio Av. y Lacarra,-34.641288,-58.479945
408BAEcobici,364 - CERRETTI Y MANUELA PEDRAZA,Ceretti 3407,-34.56912,-58.50025
409BAEcobici,339 - AMANCIO ALCORTA,Av. Amancio Alcorta 4180,-34.65687,-58.416201
40BAEcobici,040 - Sarmiento,Sarmiento 481,-34.604461,-58.373499
410BAEcobici,San Jose De Flores Vieja,Rivadavia & Fray Cayetano,-34.63,-58.46
411BAEcobici,368 - Ensenada,413 Ensenada,-34.63858079999999,-58.476985600000006
412BAEcobici,372 - VILLA SOLDATI,"Correa Morales, Lucio y Lafuente",-34.66145153498837,-58.44014625846914
413BAEcobici,382 - MERCADO DE HACIENDA MATADEROS,Lisandro de la torre y Av. Directorio 2215,-34.6602831,-58.5031426
414BAEcobici,385 - Franklin,440 Franklin,-34.607731,-58.4383041
415BAEcobici,386 - Gavilan Y Vallese,786 Gavilan,-34.6203961,-58.46371460000001
416BAEcobici,257 - Plaza Francisco Ramirez,"2700 Pedraza, Manuela",-34.553262,-58.469133
417BAEcobici,127 - PLAZA LEONARDO N. ALEM,Cochrane 2407,-34.57634,-58.502480000000006
418BAEcobici,345 - Plaza Mafalda,"Arenal, Concepcion & Martinez, Enrique, Gral.",-34.580773,-58.4446136
419BAEcobici,359 - PB,2324 Jaramillo,-34.547673,-58.467851
41BAEcobici,041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",-34.6364511,-58.4076348
420BAEcobici,375 - Ciudad Universitaria I,Ciudad Universitaria - Pabellón 1(CABA),-34.5440696,-58.4390434
421BAEcobici,376 - Ciudad Universitaria II,Ciudad Universitaria - Pabellón 2 (CABA),-34.5419013,-58.4438699
422BAEcobici,379 - PARQUE SARMIENTO II,Alfonsina Storni 3771,-34.56454,-58.50289
423BAEcobici,043 - PLAZA ALBERDI,Crisólogo Larralde 4544,-34.559255,-58.487772
424BAEcobici,387 - Luna,201 Luna,-34.638584,-58.39965
425BAEcobici,394 - Av. La Plata,"804 Arbeletche, Anibal P.",-34.644076299999995,-58.422091
426BAEcobici,396 - PLAZA ALBERTI,Arcos & Roosevelt Franklin D.,-34.555081,-58.458538
427BAEcobici,397 - PARQUE SANTOJANNI,Patron 6347,-34.64706360234081,-58.5148283486816
428BAEcobici,225 - HOSPITAL TORNU,1052 Avalos,-34.587458000000005,-58.4739506
429BAEcobici,201 - PLAZA EJERCITO DE LOS ANDES,Av. Rivadavia y Albariño,-34.63897407331851,-58.51010241799404
42BAEcobici,042 - Diagonal Norte,"Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha",-34.6046074,-58.380030700000006
430BAEcobici,Roca y belgrano ex,Esmeralda y Av.Rivadvia,-34.607981,-58.377885600000006
431BAEcobici,362 - PARQUE DE LA MEMORIA,7201 Av. Costanera,-34.5430055,-58.4361167
432BAEcobici,187 - Jose Maria Moreno,141 Jose Maria Moreno,-34.619879,-58.435801
433BAEcobici,273 - Plazoleta Colombia,1619 Brandsen,-34.637697,-58.373726
434BAEcobici,247 - PLAZA LUCIO DEMARE,O`Higgins 3750,-34.54569,-58.465140000000005
435BAEcobici,227 -Club Ciudad de Buenos Aires,Miguel Sanchez y Av Libertadores,-34.544503000000006,-58.459499
436BAEcobici,253 - Plaza Colegiales,Matienzo y freire,-34.5782972,-58.4450299
43BAEcobici,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-34.584018,-58.389921
441BAEcobici,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",-34.609801000000004,-58.3748
442BAEcobici,048 - Perón,J. D. Perón 338,-34.605619399999995,-58.371607
443BAEcobici,081 - Mantenimiento Barracas,LAFAYETTE 1730,-34.6157533,-58.3706184
444BAEcobici,061-Ministerio de Economia,"Balcarce e Yrigoyen, Hipolito Av.",-34.608936,-58.370716
447BAEcobici,Balboa Definitivo,220 Balboa,-34.59339,-58.4657845
448BAEcobici,393 - Barrio 31,Carlos H. Perette 11,-34.582421999999994,-58.378862
449BAEcobici,352 - San Jose de Flores,Avenida Rivadavia y Fray Cayetano,-34.629083,-58.463251
44BAEcobici,044 - Ecoparque,"Av. Del Libertador, 3260",-34.5755148,-58.4138829
45BAEcobici,045 - Uruguay,561 Uruguay & Av. Tucuman,-34.6018635,-58.3866934
46BAEcobici,046 - Chile,"Calle Perú, 718",-34.6163012,-58.37437489999999
47BAEcobici,047 - Colegio Nacional de Buenos Aires,306 Bolivar & Moreno,-34.6117408,-58.3733149
48BAEcobici,034 - Colonia Express,150 Dellepiane Y Pedro de Mendoza,-34.624255,-58.362131000000005
49BAEcobici,049 - 33 Orientales,Constitucion & Treinta Y Tres Orientales,-34.6290527,-58.422611
4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-34.601822,-58.368781000000006
50BAEcobici,050 - Hospital Rivadavia,2516 Pereyra Lucena,-34.5837348,-58.4010798
51BAEcobici,051 - TUCUMAN,Tucuman & 9 De Julio Av.,-34.6014776,-58.38212610000001
52BAEcobici,052 - SANCHEZ DE BUSTAMANTE,212 Sanchez De Bustamante,-34.606682,-58.414851
53BAEcobici,053 - Ricardo Rojas,1068 San Martin,-34.5952579,-58.3743514
54BAEcobici,054 - Acuña de Figueroa,Lavalle 4015,-34.5982097,-58.422069400000005
55BAEcobici,055 - Bouchard,Viamonte 101,-34.5994122,-58.36966404
56BAEcobici,056 - Plaza Palermo Viejo,Costa Rica & Armenia,-34.588567,-58.425999
57BAEcobici,057 - BELGRANO,Balcarce 482,-34.6134468,-58.3706051
58BAEcobici,058 - Ministro Carranza,Santa Fe Av. & Dorrego,-34.5752773,-58.43468829999999
59BAEcobici,018 - Independencia,Idependencia y Bernardo de Irigoyen,-34.617653999999995,-58.380565
5BAEcobici,005 - Plaza Italia,Av. Sarmiento 2601,-34.580549700000006,-58.4209542
60BAEcobici,060 - 25 De Mayo,527 25 De Mayo,-34.6016509,-58.371079
61BAEcobici,098 - AV. ALVAREZ JONTE Y BENITO JUAREZ,Benito Juarez 2205,-34.618808677650925,-58.50466291614276
62BAEcobici,062 - Córdoba,820 Maipú,-34.5985102,-58.376850100000006
63BAEcobici,063 - Reconquista,Reconquista & Cordoba Av.,-34.5986,-58.373062
64BAEcobici,064 - RIOBAMBA,Riobamba 1264 & Juncal,-34.5936508,-58.3941087
65BAEcobici,065 - Julián Álvarez,3822 Guemes,-34.5873124,-58.415787300000005
66BAEcobici,066 - Billinghurst,3508 Carcova,-34.5945475,-58.4138713
68BAEcobici,105 - PARQUE SAAVEDRA,García del Río 3590,-34.552147999999995,-58.480464000000005
69BAEcobici,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",-34.5961006,-58.4046092
6BAEcobici,006 - Parque Lezama,"Avenida Martin Garcia, 295",-34.628526,-58.369758
70BAEcobici,070 - ARAOZ,1413 Araoz & Gorriti CABA,-34.5926862,-58.4260597
71BAEcobici,071 - CERRITO,Libertad & lavalle,-34.60266729999999,-58.3833559
72BAEcobici,072 - Venezuela,Peru 490,-34.613542100000004,-58.3746635
73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-34.6306814,-58.3718235
